,visitor_id,date_time,location,ins_factor,product_prices,tra_rec_index,ins_rec_index,order_price
10,b2d4e6e2-2a04-419d-9fcf-93ddb5335a4a,2020-12-03 06:51:44,Florida,1,"[21, 17, 12, 22, 19, 10, 20, 16, 13, 26]","[4, 7, 2, 8, 1, 5, 9, 6, 3]",[10],43
11,eaeff444-c486-4cc7-8b05-39abe1cdbfae,2020-12-03 06:51:44,Florida,5,"[28, 20, 11, 17, 15, 23, 16, 25, 13, 22]","[3, 9, 7, 4, 1]","[10, 8, 2, 5, 6]",38
12,19fac821-d281-49c5-aa63-c7ee65f85c0a,2020-12-03 06:51:44,Georgia,9,"[18, 21, 25, 15, 13, 20, 17, 16, 27, 12]",[10],"[4, 1, 9, 6, 7, 2, 3, 8, 5]",92
13,f7c3bdce-3016-4ae8-86af-0d3bcc6975d0,2020-12-03 06:51:44,Florida,2,"[20, 12, 15, 22, 29, 19, 16, 27, 10, 17]","[2, 6, 1, 7, 9, 3, 5, 10]","[8, 4]",98
14,c32a797d-69c6-4a30-b602-c396922f33e8,2020-12-03 06:51:44,Texas,3,"[13, 19, 26, 10, 21, 18, 11, 17, 24, 22]","[3, 6, 4, 7, 1, 8, 10]","[9, 2, 5]",33
15,5b528413-e5a9-4c14-9bcd-c08431f9b3f5,2020-12-03 06:51:44,Texas,10,"[28, 20, 27, 23, 25, 17, 18, 14, 22, 13]",[],"[1, 7, 3, 5, 8, 4, 2, 10, 6, 9]",84
16,1c5f452f-497b-4235-aa9e-d7832a835644,2020-12-03 06:51:44,Texas,7,"[22, 15, 26, 24, 27, 20, 25, 29, 10, 17]","[4, 6, 7]","[9, 3, 10, 1, 5, 2, 8]",6
17,d3d7849d-38ab-4344-bde0-874c3ac339df,2020-12-03 06:51:44,New York,9,"[10, 29, 14, 25, 17, 15, 28, 23, 13, 11]",[3],"[2, 7, 4, 5, 9, 6, 10, 8, 1]",45
18,89447d3f-fe90-4f10-b328-b59f2046ce4d,2020-12-03 06:51:44,California,6,"[22, 25, 28, 19, 21, 29, 23, 15, 12, 16]","[1, 5, 6, 7]","[9, 3, 2, 10, 4, 8]",65
19,539c5266-6598-4075-a6d7-bcb8e24263c7,2020-12-03 06:51:44,New York,7,"[10, 16, 19, 15, 29, 18, 25, 11, 27, 13]","[3, 9, 5]","[10, 2, 1, 6, 8, 7, 4]",96
20,39c4b812-3933-4256-ab04-c7887cb57b6c,2020-12-03 06:51:44,Florida,2,"[22, 24, 18, 29, 27, 14, 12, 21, 20, 25]","[6, 1, 10, 2, 9, 5, 3, 4]","[7, 8]",60
21,a108830f-69b1-4e73-b926-44fb8aa10f07,2020-12-03 06:51:44,Georgia,6,"[20, 16, 21, 23, 17, 19, 28, 14, 22, 25]","[1, 10, 2, 4]","[6, 5, 9, 3, 8, 7]",92
22,c48e9781-b654-4837-a6aa-24ee3ff5b632,2020-12-03 06:51:44,California,8,"[12, 15, 17, 28, 27, 16, 22, 14, 20, 18]","[1, 9]","[10, 4, 3, 7, 6, 2, 5, 8]",36
23,1ee6943f-07d2-43c5-bf55-7aa624336c66,2020-12-03 06:51:44,Texas,6,"[12, 20, 24, 23, 13, 15, 22, 25, 19, 10]","[6, 3, 9, 4]","[8, 10, 5, 2, 7, 1]",42
24,5beb54d0-1b10-4ef4-bfa9-875e1021180c,2020-12-03 06:51:44,Texas,6,"[14, 26, 12, 15, 10, 13, 11, 27, 28, 18]","[3, 2, 7, 4]","[10, 8, 9, 1, 5, 6]",52
25,2637d76a-88e0-4f8b-8d21-c090bc7e5614,2020-12-03 06:51:44,Florida,1,"[25, 17, 12, 28, 16, 24, 19, 10, 18, 11]","[7, 6, 9, 5, 2, 3, 10, 4, 8]",[1],52
26,48fbea4c-0e43-4b94-bb57-6b3a3baf9c42,2020-12-03 06:51:44,Georgia,1,"[13, 11, 10, 24, 18, 29, 23, 27, 22, 15]","[5, 1, 7, 2, 9, 3, 6, 4, 10]",[8],36
27,987695f3-b00a-4b5c-b95c-fbc41517e25f,2020-12-03 06:51:44,Texas,3,"[11, 23, 14, 27, 20, 19, 24, 29, 25, 28]","[6, 2, 7, 8, 10, 3, 5]","[1, 9, 4]",46
28,4037a0c2-0665-4536-9e7f-41c2ed908542,2020-12-03 06:51:44,Texas,8,"[22, 13, 23, 12, 21, 26, 10, 14, 17, 27]","[1, 7]","[4, 10, 9, 5, 2, 6, 8, 3]",34
29,30aa97cf-1e47-46c7-88da-f4c2fc3e07a5,2020-12-03 06:51:44,California,8,"[13, 21, 23, 19, 28, 18, 29, 16, 26, 12]","[4, 1]","[2, 3, 7, 6, 10, 9, 5, 8]",86
30,1d3d264c-e550-4267-942a-c0e4a7bb3fc2,2020-12-03 06:51:44,Florida,2,"[11, 25, 22, 21, 20, 24, 18, 10, 26, 14]","[5, 9, 8, 10, 4, 7, 6, 3]","[1, 2]",0
31,2c41fe93-3d64-4a64-a91f-bb0f1da108d7,2020-12-03 06:51:44,Texas,9,"[22, 28, 27, 25, 24, 19, 29, 12, 26, 23]",[3],"[10, 5, 8, 7, 4, 6, 2, 9, 1]",50
32,2e881727-c29b-484f-bc21-4723b6732d44,2020-12-03 06:51:44,California,9,"[12, 14, 28, 10, 21, 26, 15, 17, 22, 16]",[1],"[6, 5, 10, 3, 4, 2, 9, 8, 7]",39
33,cedfd818-4d57-4e04-9a96-a2b5fc61eb90,2020-12-03 06:51:44,Georgia,2,"[15, 11, 18, 25, 19, 13, 26, 24, 21, 10]","[1, 5, 3, 8, 6, 2, 10, 9]","[4, 7]",98
34,aef7f0f6-2939-408c-8df2-a83a37d3a540,2020-12-03 06:51:44,California,5,"[28, 24, 17, 29, 19, 13, 12, 15, 21, 20]","[8, 10, 7, 5, 1]","[2, 3, 4, 6, 9]",10
35,1cb5824b-bbaa-4cde-85eb-db3cffa250ec,2020-12-03 06:51:44,Florida,6,"[13, 26, 21, 18, 10, 19, 20, 17, 29, 16]","[9, 8, 1, 7]","[4, 2, 6, 3, 10, 5]",13
36,7e14a54d-1c77-4e38-b325-48b9e953de3f,2020-12-03 06:51:44,Florida,2,"[10, 26, 20, 29, 11, 28, 17, 23, 16, 12]","[6, 2, 9, 10, 3, 1, 8, 5]","[4, 7]",63
37,b1f6a16e-962f-4def-aa79-9fa56c360345,2020-12-03 06:51:44,Florida,9,"[19, 25, 12, 17, 28, 24, 10, 22, 20, 27]",[2],"[1, 10, 8, 9, 6, 4, 7, 3, 5]",19
38,3390e508-db1f-41d9-8647-a2ff93ed3556,2020-12-03 06:51:44,California,4,"[17, 26, 19, 11, 27, 18, 10, 25, 13, 12]","[3, 1, 9, 5, 4, 6]","[7, 10, 8, 2]",8
39,587a71e8-3278-441e-902a-89ca43a2bd01,2020-12-03 06:51:44,Georgia,8,"[23, 10, 13, 21, 27, 14, 19, 12, 15, 18]","[10, 3]","[5, 9, 6, 1, 7, 4, 2, 8]",57
40,d29324c8-7924-4060-8ffb-624994c6ca09,2020-12-03 06:51:44,New York,3,"[29, 21, 25, 14, 16, 17, 13, 24, 22, 23]","[2, 1, 7, 6, 9, 3, 10]","[5, 4, 8]",24
41,165b80c5-12c1-41f8-aa38-673e7ee9a7d6,2020-12-03 06:51:44,New York,7,"[16, 10, 13, 23, 14, 21, 26, 25, 20, 18]","[6, 5, 9]","[7, 3, 2, 4, 1, 8, 10]",67
42,f9666238-b815-4e37-993c-b7b0ac63f537,2020-12-03 06:51:44,California,2,"[16, 14, 10, 17, 26, 11, 13, 22, 21, 29]","[7, 1, 5, 10, 6, 2, 3, 4]","[9, 8]",24
43,225751d0-2563-44d9-a698-1ab819b0f7fe,2020-12-03 06:51:44,Texas,1,"[14, 21, 23, 29, 10, 24, 22, 18, 12, 17]","[7, 9, 4, 2, 3, 8, 10, 5, 6]",[1],65
44,df9ba3e6-b628-4c49-9a55-304e10f844a2,2020-12-03 06:51:44,Florida,7,"[16, 11, 24, 10, 12, 20, 13, 17, 18, 22]","[1, 10, 2]","[8, 9, 6, 5, 3, 7, 4]",44
45,c01bdbd9-ba61-4cb5-93b8-8ffdefbf3928,2020-12-03 06:51:44,Florida,10,"[12, 25, 13, 17, 21, 10, 14, 16, 11, 29]",[],"[10, 4, 3, 9, 7, 6, 5, 2, 8, 1]",57
46,5a602e0d-f13b-4be3-9b71-37e6d87e2a63,2020-12-03 06:51:44,New York,7,"[24, 16, 20, 17, 14, 13, 25, 26, 28, 22]","[1, 9, 5]","[4, 3, 7, 10, 2, 6, 8]",65
47,5377a110-bcff-47cb-a601-8457437cf654,2020-12-03 06:51:44,Georgia,10,"[19, 21, 25, 14, 15, 23, 10, 27, 26, 18]",[],"[2, 9, 4, 7, 8, 10, 1, 6, 3, 5]",62
48,9e19abb9-7e2e-4b47-b418-6cf46954c9e6,2020-12-03 06:51:44,California,3,"[21, 23, 29, 27, 25, 16, 22, 14, 19, 12]","[5, 7, 4, 8, 10, 3, 6]","[2, 9, 1]",83
49,56d3f8c0-27c1-4db7-8ac4-1e504e60571b,2020-12-03 06:51:44,Georgia,7,"[15, 22, 16, 17, 25, 12, 11, 18, 20, 26]","[6, 8, 7]","[1, 2, 5, 4, 10, 3, 9]",80
50,a8a10a3e-73c6-4adf-b876-02558f15e47c,2020-12-03 06:51:44,California,10,"[15, 28, 23, 24, 11, 18, 22, 25, 20, 26]",[],"[3, 4, 10, 7, 8, 5, 6, 2, 1, 9]",42
51,cd6f62d7-6362-419b-be07-7f688afb318a,2020-12-03 06:51:44,New York,4,"[27, 18, 21, 26, 22, 23, 12, 11, 10, 25]","[6, 2, 3, 5, 7, 1]","[9, 8, 10, 4]",23
52,698d2f1a-d264-4669-a9ab-fc035386860d,2020-12-03 06:51:44,California,7,"[22, 13, 24, 17, 10, 23, 20, 29, 26, 14]","[8, 3, 6]","[1, 7, 10, 5, 4, 2, 9]",1
53,f38ba69a-3c48-4a5e-87b7-ee814c8aee1d,2020-12-03 06:51:44,Georgia,5,"[23, 16, 29, 24, 13, 25, 28, 14, 11, 12]","[6, 4, 7, 1, 2]","[5, 3, 8, 9, 10]",38
54,7e54b7cd-9ce4-4102-a496-d1adc070db2a,2020-12-03 06:51:44,California,1,"[15, 17, 14, 29, 25, 28, 16, 20, 13, 26]","[2, 4, 1, 5, 3, 9, 6, 7, 8]",[10],25
55,be05471c-58c7-4a1b-ae03-612b3f29f44b,2020-12-03 06:51:44,Florida,7,"[25, 26, 23, 18, 21, 11, 14, 10, 24, 22]","[4, 2, 3]","[9, 10, 8, 1, 5, 7, 6]",40
56,c334b453-97dc-41cd-be9c-6b8d9006517b,2020-12-03 06:51:44,California,10,"[27, 15, 13, 29, 12, 17, 20, 28, 24, 25]",[],"[2, 7, 8, 3, 6, 9, 10, 4, 5, 1]",76
57,8d36e7ca-95d7-408e-9dfb-2fdc8ab9ef5b,2020-12-03 06:51:44,Texas,3,"[12, 24, 20, 28, 23, 29, 19, 15, 27, 18]","[10, 6, 4, 7, 2, 8, 9]","[1, 3, 5]",46
58,5f2c3937-48cf-40ad-aa7d-a41b2f39ea77,2020-12-03 06:51:44,California,1,"[11, 25, 28, 19, 29, 17, 23, 24, 10, 20]","[5, 4, 3, 10, 8, 7, 9, 1, 2]",[6],58
59,9d453451-eef7-4d9b-a9a6-11ef690231e5,2020-12-03 06:51:44,New York,9,"[13, 12, 15, 24, 27, 11, 29, 20, 19, 22]",[6],"[8, 7, 5, 1, 4, 10, 9, 2, 3]",51
60,4a26c1c1-edfa-45b8-abc2-954836a0204c,2020-12-03 06:51:44,Texas,3,"[14, 20, 13, 28, 26, 29, 12, 21, 16, 19]","[5, 4, 3, 10, 6, 9, 1]","[7, 2, 8]",51
61,c02d10bb-9c19-4ef8-84b9-6648cfd912d4,2020-12-03 06:51:44,Texas,3,"[13, 25, 14, 18, 22, 27, 16, 24, 12, 23]","[4, 6, 2, 7, 8, 5, 3]","[9, 1, 10]",72
62,facf81b2-1b34-479e-a56f-88fe4e09bef3,2020-12-03 06:51:44,Texas,10,"[28, 25, 13, 23, 27, 15, 14, 17, 24, 26]",[],"[7, 2, 3, 1, 9, 4, 5, 10, 8, 6]",0
63,fe38a967-2e6c-48e2-90bb-8e291c6d2f0f,2020-12-03 06:51:44,California,4,"[12, 19, 18, 21, 22, 16, 17, 20, 23, 26]","[9, 6, 4, 2, 5, 1]","[8, 10, 3, 7]",64
64,b1f8267c-04b8-47b9-88b8-dc49dfd3bea7,2020-12-03 06:51:44,Georgia,9,"[14, 23, 12, 25, 20, 18, 16, 27, 19, 11]",[9],"[1, 7, 8, 10, 6, 5, 3, 2, 4]",51
65,45cfd620-0796-4298-a51d-0dbaccc79f23,2020-12-03 06:51:44,New York,10,"[22, 17, 16, 27, 29, 28, 21, 26, 19, 23]",[],"[3, 2, 10, 1, 6, 5, 7, 4, 8, 9]",98
66,86ce9db9-7884-40df-ad37-d26415b96769,2020-12-03 06:51:44,Texas,4,"[10, 17, 15, 28, 24, 27, 16, 22, 29, 26]","[8, 7, 1, 2, 10, 3]","[4, 5, 9, 6]",9
67,65081744-d9c5-41cc-80fb-bd3ac3284fca,2020-12-03 06:51:44,Florida,1,"[26, 27, 17, 21, 12, 20, 29, 18, 11, 10]","[4, 8, 7, 6, 9, 10, 2, 1, 3]",[5],52
68,b97aa9cb-f531-40a8-a698-fbaba47a9b65,2020-12-03 06:51:44,New York,2,"[22, 14, 18, 13, 26, 12, 24, 16, 17, 21]","[4, 10, 8, 1, 6, 2, 9, 3]","[5, 7]",51
69,4fe27e87-0486-4e0e-99c2-04c2d925a594,2020-12-03 06:51:44,Texas,6,"[22, 21, 14, 27, 18, 19, 20, 23, 26, 28]","[8, 2, 9, 6]","[4, 3, 5, 10, 7, 1]",78
70,e623f606-adb2-4b08-99d7-967555738928,2020-12-03 06:51:44,New York,8,"[10, 22, 21, 19, 29, 15, 26, 24, 11, 16]","[6, 8]","[7, 10, 1, 9, 5, 2, 3, 4]",34
71,40bd4187-89d8-4e07-b04b-9b9be3fad6b8,2020-12-03 06:51:44,California,8,"[13, 26, 12, 25, 24, 10, 29, 27, 18, 16]","[3, 10]","[1, 6, 5, 7, 2, 4, 9, 8]",24
72,d1af4e42-2356-4599-898b-b94b19852ad9,2020-12-03 06:51:44,Texas,4,"[25, 26, 18, 27, 15, 13, 12, 23, 24, 22]","[2, 7, 3, 5, 10, 4]","[8, 9, 1, 6]",51
73,9346a054-d22d-4570-9f03-6d2ef3a55e53,2020-12-03 06:51:44,Florida,10,"[19, 11, 16, 10, 17, 20, 22, 23, 12, 15]",[],"[2, 10, 4, 5, 8, 9, 1, 3, 7, 6]",79
74,46f3acdd-ddf6-48ef-b4cc-d6c2483c2c11,2020-12-03 06:51:44,California,8,"[10, 27, 12, 21, 22, 18, 24, 13, 19, 14]","[5, 6]","[10, 7, 4, 8, 2, 1, 3, 9]",2
75,5d14f32e-62a7-4429-b16e-6a7d348178c6,2020-12-03 06:51:44,California,5,"[21, 13, 26, 14, 16, 23, 19, 28, 10, 22]","[7, 3, 9, 10, 6]","[1, 5, 8, 4, 2]",81
76,aa66d401-1161-4d12-aff6-2faabefe2450,2020-12-03 06:51:44,Georgia,4,"[25, 13, 16, 20, 11, 29, 12, 24, 26, 15]","[7, 3, 5, 1, 4, 8]","[10, 6, 9, 2]",72
77,2a4252b5-60c2-4ccc-a0a8-577714d15733,2020-12-03 06:51:44,Georgia,8,"[28, 26, 10, 24, 15, 12, 20, 27, 11, 29]","[6, 10]","[3, 7, 5, 2, 8, 1, 9, 4]",0
78,101c498c-f0cc-4eb4-ab43-05866237277b,2020-12-03 06:51:44,Georgia,9,"[29, 16, 11, 20, 27, 18, 28, 22, 25, 24]",[1],"[9, 5, 10, 7, 2, 8, 3, 4, 6]",40
79,01d233ff-80df-4ada-82f4-3acbd541077c,2020-12-03 06:51:44,New York,10,"[13, 27, 11, 20, 14, 26, 29, 28, 10, 24]",[],"[2, 7, 5, 3, 10, 4, 8, 1, 9, 6]",43
80,e559bf2c-fa51-46ba-b81b-f161ba26f702,2020-12-03 06:51:44,Florida,5,"[22, 26, 13, 11, 29, 19, 21, 25, 14, 28]","[5, 8, 2, 6, 9]","[10, 1, 4, 7, 3]",49
81,b04593e6-ab74-4476-94c2-962c0e7d8f8f,2020-12-03 06:51:44,Florida,2,"[22, 24, 15, 12, 13, 20, 17, 11, 26, 29]","[8, 10, 5, 2, 3, 6, 4, 1]","[7, 9]",83
82,b431e166-405d-4fc3-a60c-a34402f11c20,2020-12-03 06:51:44,Florida,5,"[12, 20, 11, 21, 24, 25, 23, 29, 16, 17]","[9, 3, 6, 2, 4]","[8, 10, 1, 5, 7]",52
83,5f507514-fb59-4277-b8ce-e218c9c2c13c,2020-12-03 06:51:44,California,1,"[25, 23, 29, 16, 10, 17, 26, 11, 12, 14]","[8, 6, 4, 10, 9, 7, 2, 5, 3]",[1],5
84,6c1b6c29-76d7-429f-bfe2-f642f160081e,2020-12-03 06:51:44,New York,4,"[19, 24, 26, 25, 17, 11, 12, 21, 28, 14]","[5, 3, 4, 7, 2, 9]","[1, 10, 6, 8]",65
85,b56a1c97-291a-4ce6-82f5-305b112798dd,2020-12-03 06:51:44,Georgia,10,"[17, 19, 14, 18, 10, 16, 12, 25, 23, 11]",[],"[5, 7, 3, 2, 6, 1, 4, 10, 8, 9]",6
86,844e7e10-34b9-4713-ac66-3e7e73144617,2020-12-03 06:51:45,Georgia,5,"[23, 29, 24, 13, 26, 22, 19, 11, 12, 14]","[4, 8, 9, 3, 2]","[1, 7, 5, 6, 10]",73
87,c65a1727-ad2d-4ace-a31f-d2dbc454196b,2020-12-03 06:51:45,Florida,6,"[21, 24, 25, 22, 27, 20, 18, 15, 17, 12]","[9, 6, 10, 2]","[7, 8, 4, 1, 3, 5]",84
88,3c224aef-b742-4c5f-acff-852dc7266ed9,2020-12-03 06:51:45,Texas,8,"[11, 22, 15, 27, 25, 10, 29, 24, 16, 14]","[4, 3]","[6, 2, 10, 9, 5, 7, 8, 1]",77
89,755da88f-ba8b-4e8b-87e3-4d1f731e815d,2020-12-03 06:51:45,Texas,3,"[11, 18, 22, 19, 21, 24, 14, 28, 16, 25]","[5, 8, 9, 4, 10, 2, 3]","[6, 7, 1]",81
90,7d84cd64-5d20-474e-a662-0807300fc196,2020-12-03 06:51:45,Georgia,9,"[18, 14, 27, 26, 10, 19, 21, 13, 17, 20]",[9],"[4, 1, 3, 6, 2, 8, 5, 7, 10]",26
91,665d74a0-6797-49f6-8805-195a02e4daaf,2020-12-03 06:51:45,California,2,"[14, 15, 18, 13, 24, 10, 11, 26, 21, 25]","[7, 8, 5, 4, 3, 6, 10, 1]","[2, 9]",57
92,89606e83-eefb-420a-931d-8b6bab51a717,2020-12-03 06:51:45,New York,3,"[25, 23, 21, 12, 15, 28, 11, 19, 26, 14]","[7, 2, 6, 3, 10, 9, 8]","[5, 1, 4]",50
93,b06a20be-aa88-4e20-8116-e7b156d8ca9f,2020-12-03 06:51:45,California,5,"[14, 29, 22, 19, 18, 13, 12, 26, 15, 24]","[9, 10, 4, 3, 6]","[8, 7, 5, 1, 2]",3
94,722cefc5-fbcb-40c0-aaae-6cefffbf32ff,2020-12-03 06:51:45,New York,9,"[24, 15, 29, 10, 19, 26, 22, 17, 14, 23]",[2],"[1, 8, 4, 3, 6, 7, 5, 9, 10]",10
95,4c17877f-c1ff-4d01-b21e-d3eecb11bcf5,2020-12-03 06:51:45,Florida,7,"[19, 25, 15, 17, 14, 18, 27, 24, 11, 22]","[7, 8, 2]","[6, 3, 1, 4, 10, 5, 9]",33
96,c8543d8c-55bf-44c1-9090-668da382bafa,2020-12-03 06:51:45,Texas,7,"[11, 18, 20, 23, 26, 29, 28, 25, 10, 22]","[4, 8, 10]","[3, 9, 1, 2, 5, 7, 6]",59
97,5ed11dfd-94bd-4f30-8936-625c33d23b91,2020-12-03 06:51:45,Florida,1,"[29, 22, 11, 25, 12, 28, 15, 23, 20, 24]","[10, 9, 3, 5, 8, 1, 4, 7, 6]",[2],34
98,719e02f0-a4ae-4194-8a01-9c6ef556f6ae,2020-12-03 06:51:45,Texas,5,"[19, 29, 24, 17, 14, 26, 23, 28, 25, 16]","[8, 3, 10, 5, 1]","[9, 7, 2, 6, 4]",52
99,da2b5838-8df4-4a21-bd2e-085246b01000,2020-12-03 06:51:45,Texas,8,"[17, 12, 28, 26, 11, 15, 25, 13, 29, 22]","[9, 2]","[4, 10, 5, 1, 8, 6, 7, 3]",18
100,94d16b3f-3c09-4d38-b034-a07fe719cab3,2020-12-03 06:51:45,New York,6,"[24, 25, 23, 18, 26, 19, 28, 17, 21, 20]","[10, 2, 4, 5]","[3, 6, 1, 9, 8, 7]",48
101,a2e24e56-40b8-4519-9f43-973fe374c778,2020-12-03 06:51:45,Georgia,5,"[23, 25, 13, 20, 15, 27, 18, 17, 21, 14]","[10, 9, 8, 3, 5]","[1, 6, 7, 2, 4]",93
102,9e0cf090-22d6-4603-83e5-734d1cfc73da,2020-12-03 06:51:45,Texas,10,"[19, 14, 17, 18, 26, 11, 22, 28, 27, 29]",[],"[6, 7, 4, 9, 10, 2, 8, 5, 3, 1]",38
103,e1fd9c96-f75e-4aba-b2ec-b793f70465a6,2020-12-03 06:51:45,California,5,"[24, 10, 14, 13, 20, 11, 12, 22, 17, 25]","[4, 5, 10, 3, 8]","[2, 7, 6, 1, 9]",81
104,d6283e85-7b46-4689-85d3-60ef38a84bdc,2020-12-03 06:51:45,California,6,"[28, 23, 21, 14, 16, 13, 20, 18, 25, 17]","[4, 9, 5, 3]","[8, 6, 7, 10, 2, 1]",1
105,3ce9c522-55c3-4538-87b6-9d9c140a5939,2020-12-03 06:51:45,Florida,2,"[22, 28, 17, 23, 25, 11, 21, 29, 19, 18]","[3, 10, 9, 6, 8, 4, 5, 7]","[1, 2]",45
106,efdb4d70-8f7d-4385-b9cd-12c291dd6db5,2020-12-03 06:51:45,Texas,4,"[22, 13, 18, 15, 27, 25, 23, 11, 10, 16]","[6, 5, 10, 7, 1, 4]","[9, 2, 8, 3]",85
107,4697f329-a7fa-4c8a-9e3e-3a79c76e2a0c,2020-12-03 06:51:45,Florida,5,"[17, 14, 29, 12, 13, 19, 15, 20, 24, 28]","[3, 7, 5, 4, 8]","[2, 10, 1, 9, 6]",66
108,52c37e2c-fad6-42db-bca4-702f744228bb,2020-12-03 06:51:45,Texas,5,"[28, 13, 21, 25, 14, 24, 29, 27, 26, 18]","[2, 6, 10, 1, 4]","[5, 8, 7, 3, 9]",72
109,41edd8e0-2d84-4321-9f35-3ffd12cf22df,2020-12-03 06:51:45,Florida,9,"[19, 10, 15, 27, 18, 12, 28, 21, 25, 26]",[10],"[2, 1, 9, 3, 5, 8, 6, 4, 7]",39
110,5f8def5b-4db8-4dc0-a642-3455ea2d712a,2020-12-03 06:51:45,California,5,"[13, 29, 18, 12, 28, 25, 17, 16, 20, 19]","[10, 1, 6, 9, 3]","[2, 5, 7, 4, 8]",98
111,9bd200dd-1d07-40f6-9fd1-f70d24f4e9f0,2020-12-03 06:51:45,New York,10,"[26, 18, 16, 13, 17, 25, 10, 28, 27, 12]",[],"[1, 3, 7, 6, 10, 2, 9, 4, 5, 8]",60
112,34d94a9a-7bd7-428f-8f33-912b09f11203,2020-12-03 06:51:45,New York,3,"[27, 12, 13, 29, 16, 21, 23, 18, 17, 19]","[5, 10, 6, 1, 3, 8, 9]","[4, 7, 2]",28
113,3afdf8a8-1e7d-4aa9-838c-91b7bfa4b589,2020-12-03 06:51:45,California,1,"[21, 27, 15, 29, 14, 16, 23, 11, 26, 19]","[9, 7, 8, 2, 1, 10, 5, 3, 4]",[6],16
114,236bd372-dcf4-4df1-8163-e75c48ab9e7d,2020-12-03 06:51:45,Georgia,4,"[15, 21, 12, 13, 14, 10, 22, 19, 24, 18]","[3, 2, 1, 4, 9, 5]","[7, 8, 10, 6]",39
115,c9e8f3b8-4fc6-412a-b646-5b4a7bfb267c,2020-12-03 06:51:45,Georgia,10,"[14, 23, 11, 28, 13, 29, 17, 21, 12, 20]",[],"[10, 5, 2, 7, 6, 4, 9, 3, 8, 1]",71
116,5fedfab9-9b63-4dd7-9a03-ef8455d732f2,2020-12-03 06:51:45,New York,7,"[13, 17, 14, 19, 16, 18, 27, 25, 29, 15]","[7, 3, 9]","[1, 4, 10, 5, 6, 2, 8]",68
117,9b198af9-2361-4cf7-b5e4-304d2418ded4,2020-12-03 06:51:45,Florida,3,"[19, 15, 11, 12, 23, 21, 27, 26, 22, 14]","[5, 2, 1, 10, 8, 4, 6]","[3, 7, 9]",6
118,c6880b57-953f-45a2-af97-40a0d6cf33a5,2020-12-03 06:51:45,Georgia,7,"[24, 10, 20, 27, 14, 21, 13, 16, 11, 12]","[4, 9, 1]","[6, 8, 2, 7, 10, 5, 3]",5
119,c548b5e1-d814-4026-a4c6-899d3332fbee,2020-12-03 06:51:45,New York,1,"[18, 12, 19, 21, 29, 11, 28, 20, 23, 16]","[6, 2, 10, 4, 5, 1, 8, 3, 7]",[9],9
120,81b88d05-4c88-411d-a9e4-4214041a5fab,2020-12-03 06:51:45,Texas,10,"[28, 19, 26, 22, 12, 24, 13, 20, 23, 14]",[],"[3, 4, 9, 10, 5, 2, 1, 7, 6, 8]",58
121,1f7c3a66-4630-491e-a4ec-991069b4832e,2020-12-03 06:51:45,California,6,"[19, 24, 14, 23, 18, 20, 11, 13, 15, 10]","[9, 3, 2, 4]","[7, 5, 1, 8, 6, 10]",43
